ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
12,36,1.5,3.0,25,inf,0,0.0,0,0,-249.62128482765144
12,36,1.0,2.0,25,inf,0,0.0,0,0,-249.68633120180309
12,36,1.5,2.0,25,inf,0,0.0,0,0,-249.7049134288528
12,36,1.5,2.0,25,inf,0,0.0,0,0,-249.7049134288528
12,36,1.5,2.0,28,inf,0,0.0,0,0,-249.7049134288528
12,36,1.5,2.0,30,inf,0,0.0,0,0,-249.7049134288528
12,36,1.0,3.0,25,inf,0,0.0,0,0,-249.74811148954996
3,12,1.0,3.0,25,inf,0,0.0,0,0,-374.09561068402644
3,12,1.0,2.0,25,inf,0,0.0,0,0,-374.31637071590796
3,12,1.5,2.0,25,inf,0,0.0,0,0,-374.455209803553
3,12,1.5,2.0,25,inf,0,0.0,0,0,-374.455209803553
3,12,1.5,2.0,28,inf,0,0.0,0,0,-374.455209803553
3,12,1.5,2.0,30,inf,0,0.0,0,0,-374.455209803553
3,12,1.5,3.0,25,inf,0,0.0,0,0,-374.5856005021743
