ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
10,30,1.0,3.0,25,0.55,11.264267281515925,63542.7900526669,4947.7599976200145,0.5882352941176471,34,59.71323097780841,1.0
10,30,1.0,3.0,25,0.6,11.264267281515925,63542.7900526669,4947.7599976200145,0.5882352941176471,34,59.71323097780841,1.0
10,30,1.0,3.0,25,0.65,7.331345416516377,58237.1167769306,4947.7599976200145,0.5454545454545454,33,54.5442863738245,1.0
10,30,1.5,2.0,25,0.65,6.139231064960419,26979.691877801197,3548.04272464494,0.5,44,36.45396805178869,1.0
10,30,1.5,2.0,25,0.55,6.13813407528413,26973.9329533463,3548.042724644998,0.5,44,36.446186804728555,1.0
10,30,1.5,2.0,25,0.6,6.13813407528413,26973.9329533463,3548.042724644998,0.5,44,36.446186804728555,1.0
10,30,1.0,2.0,25,0.55,15.273641144586708,50459.287188920476,7826.641293628316,0.627906976744186,43,30.819413602913606,1.0
10,30,1.0,2.0,25,0.6,15.273641144586708,50459.287188920476,7826.641293628316,0.627906976744186,43,30.819413602913606,1.0
10,30,1.0,2.0,25,0.65,7.814691299821938,44586.34106852508,7826.641293628258,0.5853658536585366,41,27.074112445523372,1.0
10,30,1.5,3.0,25,0.65,6.4387287361474,28551.980569359766,5615.418038366071,0.5106382978723404,47,24.578897271059798,1.0
10,30,1.5,3.0,25,0.6,6.437083251632963,28543.342182677396,5615.418038366071,0.5106382978723404,47,24.571460938636626,1.0
10,30,1.5,3.0,25,0.55,6.437083251632963,28543.342182677396,5615.418038366071,0.5106382978723404,47,24.571460938636626,1.0
3,12,1.0,2.0,25,0.55,6.241016840980394,44710.92850065425,7826.641293628258,0.5833333333333334,48,11.537372074213787,1.0
3,12,1.0,2.0,25,0.6,6.241016840980394,44710.92850065425,7826.641293628258,0.5833333333333334,48,11.537372074213787,1.0
3,12,1.0,3.0,25,0.55,4.381597423687932,52538.837263426976,9147.108247424476,0.525,40,11.340153827276602,1.0
3,12,1.0,3.0,25,0.6,4.381597423687932,52538.837263426976,9147.108247424476,0.525,40,11.340153827276602,1.0
6,18,1.0,2.0,25,0.55,5.615764105242924,43930.68190743804,7826.641293628316,0.5714285714285714,42,11.147664936830848,1.0
6,18,1.0,2.0,25,0.6,5.615764105242924,43930.68190743804,7826.641293628316,0.5714285714285714,42,11.147664936830848,1.0
3,12,1.0,2.0,25,0.65,4.170365311317119,36581.27999199149,6698.585989275074,0.5333333333333333,45,10.93910290584739,1.0
6,18,1.0,3.0,25,0.55,4.075339678087339,47519.37983759519,8474.586651209975,0.5555555555555556,36,10.934195907959772,1.0
6,18,1.0,3.0,25,0.6,4.075339678087339,47519.37983759519,8474.586651209975,0.5555555555555556,36,10.934195907959772,1.0
6,18,1.0,2.0,25,0.65,3.8583491351894845,35801.033398775275,6698.585989275074,0.5128205128205128,39,10.520108849044595,1.0
3,12,1.0,3.0,25,0.65,3.5470539697979917,47233.16398769068,9147.108247424476,0.48717948717948717,39,10.164149101416875,1.0
6,18,1.0,3.0,25,0.65,3.286854072476872,42213.70656185889,8474.586651209975,0.5142857142857142,35,9.682010157757585,1.0
3,12,1.5,3.0,25,0.65,3.6450920935979423,27158.026298382032,6027.243987540016,0.5098039215686274,51,9.172197465730102,1.0
3,12,1.5,3.0,25,0.55,3.6442507464372933,27149.38791169966,6027.243987540016,0.5098039215686274,51,9.169279986103067,1.0
3,12,1.5,3.0,25,0.6,3.6442507464372933,27149.38791169966,6027.243987540016,0.5098039215686274,51,9.169279986103067,1.0
3,12,1.5,2.0,25,0.65,3.0589974522306522,21140.40077898373,6027.243987540016,0.5,50,7.121329718536836,1.0
3,12,1.5,2.0,25,0.55,3.058436554123554,21134.641854528832,6027.243987540016,0.5,50,7.1193897742426735,1.0
3,12,1.5,2.0,25,0.6,3.058436554123554,21134.641854528832,6027.243987540016,0.5,50,7.1193897742426735,1.0
6,18,1.5,3.0,25,0.65,3.053292108885031,23120.810260924754,8521.28581529262,0.4888888888888889,45,5.435054012844981,1.0
6,18,1.5,3.0,25,0.55,3.052524958815105,23112.171874242384,8521.28581529262,0.4888888888888889,45,5.433023370420573,1.0
6,18,1.5,3.0,25,0.6,3.052524958815105,23112.171874242384,8521.28581529262,0.4888888888888889,45,5.433023370420573,1.0
6,18,1.5,2.0,25,0.65,2.9606135357622243,22077.216076174667,8521.285815292737,0.4772727272727273,44,5.107225853535924,1.0
6,18,1.5,2.0,25,0.55,2.9601021023822747,22071.45715171977,8521.285815292678,0.4772727272727273,44,5.10501159317677,1.0
6,18,1.5,2.0,25,0.6,2.9601021023822747,22071.45715171977,8521.285815292678,0.4772727272727273,44,5.10501159317677,1.0
