ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
10,30,1.5,2.0,28,inf,12539.544221945325,5.580000000016298,0.625,8,4274.198877522607
10,30,1.5,2.0,30,inf,12539.544221945325,5.580000000016298,0.625,8,4274.198877522607
12,36,1.5,2.0,28,inf,11641.459673207897,5.580000000016298,0.6666666666666666,6,2682.8477079025843
12,36,1.5,2.0,30,inf,11641.459673207897,5.580000000016298,0.6666666666666666,6,2682.8477079025843
10,30,1.5,2.0,25,inf,13455.936780737302,11.160000000032596,0.6666666666666666,9,2542.182818623487
10,30,1.5,2.0,25,inf,13455.936780737302,11.160000000032596,0.6666666666666666,9,2542.182818623487
12,36,1.5,2.0,25,inf,12557.852231999874,11.160000000032596,0.7142857142857143,7,2509.2656309260587
12,36,1.5,2.0,25,inf,12557.852231999874,11.160000000032596,0.7142857142857143,7,2509.2656309260587
10,30,1.5,3.0,25,inf,8462.115374578363,11.159999999974389,0.5454545454545454,11,2406.303422723722
12,36,1.5,3.0,25,inf,7114.9885514722255,11.159999999974389,0.5555555555555556,9,2368.120365254558
10,30,1.0,3.0,25,5.013361873741748,12028.62906642042,3019.4653970099753,0.7142857142857143,7,12.819040789843289
12,36,1.0,3.0,25,4.339156933042141,10007.93883176121,3019.4653970099753,0.8,5,11.465139739889487
10,30,1.0,2.0,25,3.754654981736386,8256.101498861812,3019.4653970099753,0.8333333333333334,6,8.245463876043436
12,36,1.0,2.0,25,2.8824637433096925,5642.017543298817,3019.4653970099753,0.8,5,6.67183034670128
