ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
10,40,1.5,2.0,25,1.5289982855695694,32969.98367128041,6947.889006183948,0.7681818181818182,220,7.782974158968523
10,40,1.5,2.0,25,1.5289982855695694,32969.98367128041,6947.889006183948,0.7681818181818182,220,7.782974158968523
12,48,1.5,2.0,22,1.512120182605407,34968.147249735324,11505.872139349056,0.7797356828193832,227,7.673879353033232
10,40,1.5,2.0,22,1.4947192661491664,34409.45704559302,8737.873487448785,0.7737556561085973,221,7.65264952335414
10,40,2.0,2.5,25,1.782467074107827,31307.54059631979,9571.922016111377,0.7467248908296943,229,7.515464372316895
12,48,1.5,2.0,25,1.5207997218411495,32136.650548514703,9454.74578917207,0.775330396475771,227,7.42187131730665
12,48,1.5,2.0,25,1.5207997218411495,32136.650548514703,9454.74578917207,0.775330396475771,227,7.42187131730665
10,40,1.5,2.0,28,1.5100430800689106,30018.406435719582,6947.889006183948,0.7579908675799086,219,7.2375953755196205
12,48,1.5,2.0,28,1.4747940472518062,28222.89070410682,7384.9271933994605,0.7654867256637168,226,6.8849848412647034
12,48,2.0,2.5,25,1.8941013149349086,32305.358864246577,10496.879669729795,0.7510548523206751,237,6.20489805264968
10,40,2.0,2.0,25,1.7088779070757494,27010.39629534969,6814.348227738345,0.7396694214876033,242,5.869320118123423
12,48,1.5,2.5,25,1.3891769440240702,26952.038153794616,16931.854778342007,0.7330316742081447,221,5.59844678109196
12,48,2.0,2.0,25,1.7660733290647077,26908.010448202138,7841.226114126795,0.7362204724409449,254,5.097676884776375
10,40,1.0,2.0,25,1.5426293584327972,59427.69276683424,13894.87827525317,0.6589595375722543,173,3.9256046427696685
10,40,1.5,2.5,25,1.480431391345058,32662.941719362723,12934.281115752354,0.7407407407407407,216,3.8968038215594247
12,48,1.0,2.0,25,1.3104177169583977,34548.74007128182,22472.79486449831,0.632768361581921,177,3.3729155765910064
12,48,1.0,2.5,25,1.2289031425540446,27395.13836682207,32304.71949117945,0.5988372093023255,172,2.991129302495958
10,40,1.0,2.5,25,1.3694251087490366,43291.0193747114,21562.234100464266,0.627906976744186,172,2.022907922113741
