ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
12,48,1.0,1.5,22,0.55,2.723915864765372,4537.4710072721655,2700.3921909997007,0.9090909090909091,11,7.3540375113456165,0.5275637686045123
12,48,1.0,1.5,22,0.6,2.723915864765372,4537.4710072721655,2700.3921909997007,0.9090909090909091,11,7.3540375113456165,0.5275637686045123
12,48,1.0,1.5,22,0.65,2.723915864765372,4537.4710072721655,2700.3921909997007,0.9090909090909091,11,7.3540375113456165,0.5275637686045123
15,60,1.5,2.0,22,0.55,2.377292016157078,3792.2602098462658,2802.2176959998906,0.8571428571428571,14,6.614274674980201,0.5275637686045123
15,60,1.5,2.0,22,0.6,2.377292016157078,3792.2602098462658,2802.2176959998906,0.8571428571428571,14,6.614274674980201,0.5275637686045123
15,60,1.5,2.0,22,0.65,2.377292016157078,3792.2602098462658,2802.2176959998906,0.8571428571428571,14,6.614274674980201,0.5275637686045123
15,60,1.5,2.0,25,0.55,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
15,60,1.5,2.0,25,0.6,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
15,60,1.5,2.0,25,0.65,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
15,60,1.5,2.0,28,0.55,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
15,60,1.5,2.0,28,0.6,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
15,60,1.5,2.0,28,0.65,2.196939377538707,3295.6740631541697,2802.2176959998906,0.8571428571428571,14,5.937570367731592,0.5275637686045123
12,48,1.0,1.5,25,0.6,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
12,48,1.0,1.5,25,0.55,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
12,48,1.0,1.5,25,0.65,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
12,48,1.0,1.5,28,0.55,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
12,48,1.0,1.5,28,0.65,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
12,48,1.0,1.5,28,0.6,2.2850289922084173,3382.2890750201677,2700.3921909997007,0.9090909090909091,11,5.554620488423287,0.5275637686045123
15,60,1.0,2.0,22,0.55,1.6656721743756966,4800.702168769094,7419.587779200578,0.8461538461538461,13,5.1328294015215965,0.5275637686045123
15,60,1.0,2.0,22,0.6,1.6656721743756966,4800.702168769094,7419.587779200578,0.8461538461538461,13,5.1328294015215965,0.5275637686045123
15,60,1.0,2.0,22,0.65,1.6656721743756966,4800.702168769094,7419.587779200578,0.8461538461538461,13,5.1328294015215965,0.5275637686045123
15,60,1.0,2.0,25,0.55,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.0,2.0,25,0.6,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.0,2.0,25,0.65,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.0,2.0,28,0.55,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.0,2.0,28,0.6,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.0,2.0,28,0.65,1.6161707831345409,4443.707471624998,7419.587779200578,0.8461538461538461,13,5.016203664666127,0.5275637686045123
15,60,1.5,1.5,22,0.55,1.908560756469621,2501.6472647545015,2802.2176959998906,0.8571428571428571,14,4.811344344370123,0.5275637686045123
15,60,1.5,1.5,22,0.6,1.908560756469621,2501.6472647545015,2802.2176959998906,0.8571428571428571,14,4.811344344370123,0.5275637686045123
15,60,1.5,1.5,22,0.65,1.908560756469621,2501.6472647545015,2802.2176959998906,0.8571428571428571,14,4.811344344370123,0.5275637686045123
15,60,1.5,1.5,25,0.55,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
15,60,1.5,1.5,25,0.65,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
15,60,1.5,1.5,25,0.6,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
15,60,1.5,1.5,28,0.55,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
15,60,1.5,1.5,28,0.6,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
15,60,1.5,1.5,28,0.65,1.7789056381551236,2144.6525676104047,2802.2176959998906,0.8571428571428571,14,4.445558846411791,0.5275637686045123
12,48,1.5,2.0,22,0.55,1.9047686616491686,2491.206043770958,2802.2176959998906,0.9166666666666666,12,3.875911546443852,0.5275637686045123
12,48,1.5,2.0,22,0.6,1.9047686616491686,2491.206043770958,2802.2176959998906,0.9166666666666666,12,3.875911546443852,0.5275637686045123
12,48,1.5,2.0,22,0.65,1.9047686616491686,2491.206043770958,2802.2176959998906,0.9166666666666666,12,3.875911546443852,0.5275637686045123
15,60,2.0,2.0,22,0.55,1.5988676959967199,1308.239792637706,2213.802226500062,0.8461538461538461,13,3.369852010495898,0.5275637686045123
15,60,2.0,2.0,22,0.6,1.5988676959967199,1308.239792637706,2213.802226500062,0.8461538461538461,13,3.369852010495898,0.5275637686045123
15,60,2.0,2.0,22,0.65,1.5988676959967199,1308.239792637706,2213.802226500062,0.8461538461538461,13,3.369852010495898,0.5275637686045123
15,60,2.0,2.0,25,0.55,1.4354476617148715,951.2450954936095,2213.802226500062,0.7692307692307693,13,3.021380013697523,0.5275637686045123
15,60,2.0,2.0,25,0.6,1.4354476617148715,951.2450954936095,2213.802226500062,0.7692307692307693,13,3.021380013697523,0.5275637686045123
