ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
6,24,1.0,2.0,25,0.55,1.4992730438142379,23155.69735497527,12218.444612504274,0.49624060150375937,133,2.2398655391503146,1.0
6,24,1.0,2.0,25,0.6,1.4992730438142379,23155.69735497527,12218.444612504274,0.49624060150375937,133,2.2398655391503146,1.0
6,24,1.0,2.0,25,0.65,1.4992730438142379,23155.69735497527,12218.444612504274,0.49624060150375937,133,2.2398655391503146,1.0
10,40,1.0,2.0,25,0.65,1.4491373376811318,22120.372922510338,11656.25105554791,0.4689655172413793,145,2.202912400407402,1.0
10,40,1.0,2.0,25,0.55,1.4430395255061597,22116.110644454177,11933.563190409099,0.47297297297297297,148,2.1505398642426643,1.0
10,40,1.0,2.0,25,0.6,1.4430395255061597,22116.110644454177,11933.563190409099,0.47297297297297297,148,2.1505398642426643,1.0
10,40,1.0,2.5,25,0.55,1.3503688037704928,18127.61248722146,15211.472471287765,0.4657534246575342,146,1.2907357871062806,1.0
10,40,1.0,2.5,25,0.6,1.3503688037704928,18127.61248722146,15211.472471287765,0.4657534246575342,146,1.2907357871062806,1.0
10,40,1.0,2.5,25,0.65,1.3134691687013456,16337.407129656714,14533.465443368419,0.46153846153846156,143,1.179660335062562,1.0
6,24,1.0,2.5,25,0.55,1.3418450457973468,16879.01042431623,15533.206055339193,0.46923076923076923,130,1.1446749114814727,1.0
6,24,1.0,2.5,25,0.6,1.3418450457973468,16879.01042431623,15533.206055339193,0.46923076923076923,130,1.1446749114814727,1.0
6,24,1.0,2.5,25,0.65,1.3418450457973468,16879.01042431623,15533.206055339193,0.46923076923076923,130,1.1446749114814727,1.0
10,40,1.5,2.5,25,0.55,1.084251622794143,3353.820214373554,10611.759159457346,0.4620253164556962,158,0.5580429654873739,1.0
10,40,1.5,2.5,25,0.6,1.084251622794143,3353.820214373554,10611.759159457346,0.4620253164556962,158,0.5580429654873739,1.0
10,40,1.5,2.5,25,0.65,1.071471242017624,2842.242959334692,11094.056414496212,0.4551282051282051,156,0.44593443594042426,1.0
6,24,1.5,2.5,25,0.6,1.1308664423549568,4914.142672153668,12168.41614703153,0.46621621621621623,148,0.3672448194518242,1.0
6,24,1.5,2.5,25,0.55,1.1308664423549568,4914.142672153668,12168.41614703153,0.46621621621621623,148,0.3672448194518242,1.0
6,24,1.5,2.5,25,0.65,1.1308664423549568,4914.142672153668,12168.41614703153,0.46621621621621623,148,0.3672448194518242,1.0
10,40,2.0,2.0,25,0.65,0.8008825767500987,-6681.615099838994,13040.621894538519,0.47337278106508873,169,0.33853684725023236,1.0
10,40,2.0,2.0,25,0.55,0.8172302920575584,-6133.048632558508,12531.095427257998,0.47398843930635837,173,0.331507965414913,1.0
10,40,2.0,2.0,25,0.6,0.8172302920575584,-6133.048632558508,12531.095427257998,0.47398843930635837,173,0.331507965414913,1.0
10,40,1.5,2.0,25,0.55,1.0942748402058144,3442.498650239459,11311.49245663354,0.47878787878787876,165,0.27345925892015627,1.0
10,40,1.5,2.0,25,0.6,1.0942748402058144,3442.498650239459,11311.49245663354,0.47878787878787876,165,0.27345925892015627,1.0
6,24,2.0,2.0,25,0.6,0.8172766683968029,-5816.959311279365,15092.723317986703,0.4810126582278481,158,0.25647951546015,1.0
6,24,2.0,2.0,25,0.55,0.8172766683968029,-5816.959311279365,15092.723317986703,0.4810126582278481,158,0.25647951546015,1.0
6,24,2.0,2.0,25,0.65,0.8172766683968029,-5816.959311279365,15092.723317986703,0.4810126582278481,158,0.25647951546015,1.0
6,24,2.0,2.5,25,0.55,0.8857526633881699,-3997.189577115236,16669.719030352775,0.474025974025974,154,0.17208919375664086,1.0
6,24,2.0,2.5,25,0.6,0.8857526633881699,-3997.189577115236,16669.719030352775,0.474025974025974,154,0.17208919375664086,1.0
6,24,2.0,2.5,25,0.65,0.8857526633881699,-3997.189577115236,16669.719030352775,0.474025974025974,154,0.17208919375664086,1.0
10,40,1.5,2.0,25,0.65,1.061881047443588,2259.621144251132,11736.178344831162,0.475,160,0.1668768768872619,1.0
10,40,2.0,2.5,25,0.65,0.9288722942567438,-2481.323295271105,12999.07319353451,0.4727272727272727,165,0.14559260715071254,1.0
10,40,2.0,2.5,25,0.55,0.9485282749685813,-1795.615211170473,12352.405109433865,0.47337278106508873,169,0.11375381729530006,1.0
10,40,2.0,2.5,25,0.6,0.9485282749685813,-1795.615211170473,12352.405109433865,0.47337278106508873,169,0.11375381729530006,1.0
6,24,1.5,2.0,25,0.55,1.0284036971441834,1041.0577591021001,12035.641216725402,0.4768211920529801,151,0.07180474464673885,1.0
6,24,1.5,2.0,25,0.6,1.0284036971441834,1041.0577591021001,12035.641216725402,0.4768211920529801,151,0.07180474464673885,1.0
6,24,1.5,2.0,25,0.65,1.0284036971441834,1041.0577591021001,12035.641216725402,0.4768211920529801,151,0.07180474464673885,1.0
