ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
3,12,1.0,2.0,25,1.2948157890687588,22494.72404508573,19500.00531526585,0.42696629213483145,89,2.694752526463678
3,12,1.0,3.0,25,0.994964204382935,-505.9403616183117,23631.714366793225,0.3333333333333333,78,2.137733625016484
8,24,1.0,3.0,25,0.5193200739321818,-42171.12841124984,42726.504395238066,0.25,56,1.6324299935436795
8,24,1.0,2.0,25,0.6536079267226707,-27957.331368628482,41016.30939648423,0.3076923076923077,65,1.2713900042475654
3,12,1.5,3.0,25,1.4230847352944036,31227.418616957824,16674.342082767747,0.41304347826086957,92,0.6354900868953604
8,24,1.5,3.0,25,1.0943066562566217,8792.545806774922,17976.39585119998,0.3804347826086957,92,0.549867614827332
3,12,1.5,2.0,30,1.1652812456797015,12050.29812777339,14402.846541164967,0.4215686274509804,102,0.374683315336102
3,12,1.5,2.0,25,1.1652812456797015,12050.29812777339,14402.846541164967,0.4215686274509804,102,0.35740049319308437
3,12,1.5,2.0,25,1.1652812456797015,12050.29812777339,14402.846541164967,0.4215686274509804,102,0.35740049319308437
3,12,1.5,2.0,28,1.1652812456797015,12050.29812777339,14402.846541164967,0.4215686274509804,102,0.35740049319308437
8,24,1.5,2.0,30,1.017112078969512,1450.8354919712874,17976.39585119998,0.4077669902912621,103,0.3164366600523944
8,24,1.5,2.0,25,1.017112078969512,1450.8354919712874,17976.39585119998,0.4077669902912621,103,0.2188383060988414
8,24,1.5,2.0,25,1.017112078969512,1450.8354919712874,17976.39585119998,0.4077669902912621,103,0.2188383060988414
8,24,1.5,2.0,28,1.017112078969512,1450.8354919712874,17976.39585119998,0.4077669902912621,103,0.2188383060988414
