ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
20,80,1.0,1.5,25,inf,0,0.0,0,0,-1198.8
20,80,1.0,2.0,25,inf,0,0.0,0,0,-1198.8
20,80,1.5,1.5,25,inf,0,0.0,0,0,-1198.8
20,80,1.5,2.0,25,inf,0,0.0,0,0,-1198.8
20,80,2.0,1.5,25,inf,0,0.0,0,0,-1198.8
20,80,2.0,2.0,25,inf,0,0.0,0,0,-1198.8
20,80,1.5,2.0,22,inf,0,0.0,0,0,-1198.8
20,80,1.5,2.0,25,inf,0,0.0,0,0,-1198.8
20,80,1.5,2.0,28,inf,0,0.0,0,0,-1198.8
25,100,1.0,1.5,25,inf,0,0.0,0,0,-1198.8
25,100,1.0,2.0,25,inf,0,0.0,0,0,-1198.8
25,100,1.5,1.5,25,inf,0,0.0,0,0,-1198.8
25,100,1.5,2.0,25,inf,0,0.0,0,0,-1198.8
25,100,2.0,1.5,25,inf,0,0.0,0,0,-1198.8
25,100,2.0,2.0,25,inf,0,0.0,0,0,-1198.8
25,100,1.5,2.0,22,inf,0,0.0,0,0,-1198.8
25,100,1.5,2.0,25,inf,0,0.0,0,0,-1198.8
25,100,1.5,2.0,28,inf,0,0.0,0,0,-1198.8
