ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
10,30,1.0,3.0,25,1.9984255655638192,12956.415777692058,6973.76628720283,0.52,25,6.388223855545481
10,30,1.5,2.0,28,2.538846403994397,8768.577456890893,4036.082805570448,0.6944444444444444,36,3.8880932252587694
10,30,1.5,2.0,30,2.385976581001832,7897.50229289006,4036.082805570448,0.6571428571428571,35,3.2589135617112968
10,30,1.5,2.0,25,2.070034942292689,7478.088141434897,4036.0828055703896,0.6944444444444444,36,2.8997644691541353
10,30,1.5,2.0,25,2.070034942292689,7478.088141434897,4036.0828055703896,0.6944444444444444,36,2.8997644691541353
3,12,1.0,2.0,25,2.6006820054892836,10668.586686913482,5265.267625354463,0.7272727272727273,22,1.9605039644552265
10,30,1.5,3.0,25,2.269623804377495,10175.679188278342,3830.7639245786704,0.6388888888888888,36,1.6807063618914468
3,12,1.0,3.0,25,2.209344962475709,9541.063657347688,6506.429491093499,0.6086956521739131,23,1.5695975501150747
10,30,1.0,2.0,25,1.8399703257073594,8320.06113046292,6645.773189673026,0.6333333333333333,30,1.2310037873916346
3,12,1.5,3.0,25,1.3990335254073518,2874.870124166483,5119.072188318009,0.6428571428571429,28,1.1317581796577474
3,12,1.5,2.0,28,1.5578920720927605,3366.3518183516026,3920.6449275345076,0.5384615384615384,26,1.0545584903092113
3,12,1.5,2.0,25,1.3506877915226148,2526.5592752616235,5119.072188318009,0.5769230769230769,26,0.7483235109723206
3,12,1.5,2.0,25,1.3506877915226148,2526.5592752616235,5119.072188318009,0.5769230769230769,26,0.7483235109723206
3,12,1.5,2.0,30,1.0478410130216196,288.67533566659876,3920.6449275345076,0.5384615384615384,26,0.3787995290289275
