ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
15,60,1.5,2.0,25,0.8849824899696856,-8873.92310758397,15600.94235116191,0.7945205479452054,219,0.4027807390808863
15,60,1.5,2.0,25,0.8849824899696856,-8873.92310758397,15600.94235116191,0.7945205479452054,219,0.4027807390808863
18,72,1.5,2.0,20,0.7156240511522967,-24850.987499212897,33074.603708414536,0.79,200,0.40239503037801955
18,72,1.5,2.0,25,0.7996102252364151,-14507.601124492981,23587.83545309829,0.79,200,0.400164945153612
18,72,1.5,2.0,25,0.7996102252364151,-14507.601124492981,23587.83545309829,0.79,200,0.400164945153612
15,60,1.5,2.0,20,0.811621023204035,-17066.47831579689,24315.6088549344,0.7945205479452054,219,0.39588495478956476
15,60,1.5,2.0,22,0.8318565780348212,-14114.293998265792,22217.414612843655,0.7945205479452054,219,0.39372126663037943
18,72,1.5,2.0,22,0.7350304054443344,-21387.395771950654,30501.142056592565,0.79,200,0.38741329581110884
15,60,2.0,2.5,25,0.7896470344681527,-12821.789675548956,20699.76033707708,0.8518518518518519,243,0.379927703135678
15,60,2.0,2.0,25,0.807452045606151,-10749.087391785379,17711.14114297746,0.872093023255814,258,0.3793367892701699
18,72,2.0,2.0,25,0.6749557864483168,-18286.036356715747,26872.915761832846,0.8577405857740585,239,0.37879096593456313
15,60,1.0,2.5,25,0.8932839610032278,-13515.318594070433,22113.85859407042,0.56875,160,0.37804509336507064
18,72,2.0,2.5,25,0.6586403382558771,-20468.174340661302,27829.729081399157,0.8348623853211009,218,0.37578453212236096
15,60,1.5,2.5,25,0.8285464912645547,-13884.459920985066,20397.213641634095,0.7757009345794392,214,0.3745695263953048
15,60,1.0,2.0,25,0.9192692801542945,-9718.391782763485,20178.98234395194,0.592814371257485,167,0.3692814261209757
18,72,1.0,2.0,25,0.8415638676335333,-18003.55170377051,31893.386090750224,0.5675675675675675,148,0.36158132993685854
18,72,1.0,2.5,25,0.8539595255029414,-17359.406079524542,34986.44223293796,0.5695364238410596,151,0.35089098889609005
18,72,1.5,2.5,25,0.7994542055300945,-15078.015046669776,24780.287078189955,0.7755102040816326,196,0.3508179641349507
