ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
10,40,1.0,2.0,25,0.55,3.4736716415685964,31756.78217955469,2779.565765700012,0.6883116883116883,154,66.65100450352429,1.0
10,40,1.0,2.0,25,0.6,3.4736716415685964,31756.78217955469,2779.565765700012,0.6883116883116883,154,66.65100450352429,1.0
10,40,1.0,2.0,25,0.65,3.4736716415685964,31756.78217955469,2779.565765700012,0.6883116883116883,154,66.65100450352429,1.0
6,24,1.0,2.0,25,0.55,4.438951690118779,35682.28799521102,2779.565765700012,0.6959459459459459,148,61.93806652603147,1.0
6,24,1.0,2.0,25,0.65,4.438951690118779,35682.28799521102,2779.565765700012,0.6959459459459459,148,61.93806652603147,1.0
6,24,1.0,2.0,25,0.6,4.438951690118779,35682.28799521102,2779.565765700012,0.6959459459459459,148,61.93806652603147,1.0
6,24,1.0,2.5,25,0.65,4.057232717239838,45336.63294981633,5132.57935070002,0.6737588652482269,141,42.232430781216195,1.0
6,24,1.0,2.5,25,0.6,4.057232717239838,45336.63294981633,5132.57935070002,0.6737588652482269,141,42.232430781216195,1.0
6,24,1.0,2.5,25,0.55,4.057232717239838,45336.63294981633,5132.57935070002,0.6737588652482269,141,42.232430781216195,1.0
20,80,1.0,2.0,25,0.55,2.0570097731054253,20108.256853444855,2808.3731384000275,0.6241610738255033,149,28.461088126983583,1.0
20,80,1.0,2.0,25,0.6,2.0570097731054253,20108.256853444855,2808.3731384000275,0.6241610738255033,149,28.461088126983583,1.0
20,80,1.0,2.0,25,0.65,2.0570097731054253,20108.256853444855,2808.3731384000275,0.6241610738255033,149,28.461088126983583,1.0
6,24,1.5,2.5,25,0.6,3.923458913851274,20444.29121677054,2058.6317501311423,0.6582278481012658,158,24.258827984552756,1.0
6,24,1.5,2.5,25,0.55,3.923458913851274,20444.29121677054,2058.6317501311423,0.6582278481012658,158,24.258827984552756,1.0
6,24,1.5,2.5,25,0.65,3.923458913851274,20444.29121677054,2058.6317501311423,0.6582278481012658,158,24.258827984552756,1.0
15,60,1.0,2.0,25,0.6,2.150201860848004,22807.377910892308,4364.652237878647,0.6516129032258065,155,21.876082560547676,1.0
15,60,1.0,2.0,25,0.65,2.150201860848004,22807.377910892308,4364.652237878647,0.6516129032258065,155,21.876082560547676,1.0
15,60,1.0,2.0,25,0.55,2.150201860848004,22807.377910892308,4364.652237878647,0.6516129032258065,155,21.876082560547676,1.0
6,24,1.5,2.0,25,0.6,3.834069797310885,18270.729921680984,2296.9637289810344,0.6726190476190477,168,19.66390403191815,1.0
6,24,1.5,2.0,25,0.55,3.834069797310885,18270.729921680984,2296.9637289810344,0.6726190476190477,168,19.66390403191815,1.0
6,24,1.5,2.0,25,0.65,3.834069797310885,18270.729921680984,2296.9637289810344,0.6726190476190477,168,19.66390403191815,1.0
15,60,1.5,2.5,25,0.6,2.60841501111363,17541.28475973457,2523.5931386494776,0.6294117647058823,170,14.975379280999839,1.0
15,60,1.5,2.5,25,0.55,2.60841501111363,17541.28475973457,2523.5931386494776,0.6294117647058823,170,14.975379280999839,1.0
15,60,1.5,2.5,25,0.65,2.60841501111363,17541.28475973457,2523.5931386494776,0.6294117647058823,170,14.975379280999839,1.0
20,80,1.0,2.5,25,0.55,2.049559862459526,24544.56344167291,5509.949663700012,0.5714285714285714,147,14.664684295717523,1.0
20,80,1.0,2.5,25,0.6,2.049559862459526,24544.56344167291,5509.949663700012,0.5714285714285714,147,14.664684295717523,1.0
20,80,1.0,2.5,25,0.65,2.049559862459526,24544.56344167291,5509.949663700012,0.5714285714285714,147,14.664684295717523,1.0
15,60,1.0,2.5,25,0.55,2.102181774231885,26963.868463779683,8027.281729499984,0.6013513513513513,148,13.627803296995312,1.0
15,60,1.0,2.5,25,0.6,2.102181774231885,26963.868463779683,8027.281729499984,0.6013513513513513,148,13.627803296995312,1.0
15,60,1.0,2.5,25,0.65,2.102181774231885,26963.868463779683,8027.281729499984,0.6013513513513513,148,13.627803296995312,1.0
10,40,1.0,2.5,25,0.55,2.9421876660795414,36058.54622467587,6236.666429099976,0.6453900709219859,141,13.55524294202362,1.0
10,40,1.0,2.5,25,0.6,2.9421876660795414,36058.54622467587,6236.666429099976,0.6453900709219859,141,13.55524294202362,1.0
