ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
6,24,2.0,2.0,25,1.330647055393011,16718.858294709793,7952.632963734388,0.7300275482093664,363,3.3269657020574868
6,24,1.5,2.0,25,1.4624907010980797,33612.579959601986,9814.788894589874,0.7610619469026548,339,3.1167997755078765
6,24,1.5,2.0,25,1.4624907010980797,33612.579959601986,9814.788894589874,0.7610619469026548,339,3.1167997755078765
6,24,1.5,2.0,22,1.4211231913798152,32898.11165300812,10791.900735509349,0.7699115044247787,339,2.6983010780627126
12,48,1.5,2.0,25,1.3054794629738617,25674.46149298896,11663.856116979034,0.7374005305039788,377,2.6676088469981574
12,48,1.5,2.0,25,1.3054794629738617,25674.46149298896,11663.856116979034,0.7374005305039788,377,2.6676088469981574
6,24,1.5,2.0,28,1.450294658602487,30848.459170114118,9814.788894589816,0.7380952380952381,336,2.485738182379805
12,48,1.5,2.0,22,1.2175655663720586,20523.972858981866,12675.620213393646,0.7486772486772487,378,2.355460501139878
12,48,1.5,2.0,28,1.2697375029296638,21649.3545551714,11797.54362254322,0.713903743315508,374,1.8273280487397534
6,24,2.0,2.5,25,1.277127559137703,15467.498488016801,9469.576267041848,0.7181008902077152,337,1.758335935743903
6,24,1.0,2.0,25,1.256515244848108,34749.14239848416,20200.20472254051,0.6727941176470589,272,1.7533794579153708
6,24,1.0,2.5,25,1.23979220435935,33975.62982763306,21376.838123551686,0.6374501992031872,251,1.48649232283505
6,24,1.5,2.5,25,1.2067579984921757,18578.241725242933,18647.680476132547,0.7129032258064516,310,1.3311929020213658
12,48,1.5,2.5,25,1.128655846083414,13644.613700394855,24776.03764032235,0.7029411764705882,340,1.1814596643660635
12,48,2.0,2.0,25,1.068809552375091,4669.849806834425,13465.132865547726,0.706766917293233,399,1.1692485077728696
12,48,1.0,2.0,25,1.018634548565139,2908.788644057051,40205.041149236495,0.6423841059602649,302,1.1001793973254694
12,48,2.0,2.5,25,1.0842552418331632,6006.817034717607,14653.980839561205,0.6967213114754098,366,0.9281708433488829
12,48,1.0,2.5,25,0.7988494983677323,-24058.865752571823,42436.03286332206,0.5555555555555556,180,0.47247531498962697
