ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
12,48,1.5,2.0,25,0.7545651532974571,-34947.597517724775,42201.64951103862,0.4017467248908297,229,0.45412017573081864
12,48,1.5,2.0,25,0.7545651532974571,-34947.597517724775,42201.64951103862,0.4017467248908297,229,0.45412017573081864
12,48,1.5,2.5,25,0.7478247712735642,-39814.20276387839,41963.602763878356,0.3755868544600939,213,0.4500647659933922
12,48,1.5,2.0,28,0.7323557896386574,-34459.79408557338,40808.306152591074,0.39712918660287083,209,0.4494246211551983
10,40,1.5,2.0,25,0.7240021790793416,-33217.20530824273,43933.676056367985,0.39779005524861877,181,0.44405260758274595
10,40,1.5,2.0,25,0.7240021790793416,-33217.20530824273,43933.676056367985,0.39779005524861877,181,0.44405260758274595
10,40,1.5,2.0,28,0.7056497894845246,-34365.232466039306,40785.13247797312,0.3854748603351955,179,0.4350828336464031
12,48,2.0,2.5,25,0.7279892567867996,-39557.414445215494,41951.06444521551,0.425531914893617,235,0.4333545019678226
10,40,2.0,2.5,25,0.7613562238157443,-37541.66192981027,41514.666598975426,0.42,250,0.4320838392166807
10,40,1.5,2.5,25,0.6227802032198774,-38827.18279383592,40136.362793835986,0.35658914728682173,129,0.42630531217160106
10,40,2.0,2.0,25,0.7364066187139339,-38371.22804285146,43227.955386762624,0.43346007604562736,263,0.39436860280025965
12,48,2.0,5.0,25,0.8422572828409074,-28553.329129345955,41042.6206575121,0.37628865979381443,194,0.3806185832575977
12,48,2.0,2.0,25,0.6388629670904769,-41110.95479484556,43045.41479484545,0.4270833333333333,192,0.3758433916361272
10,40,2.0,5.0,25,0.8443649602441151,-29635.97208103939,42824.335946515785,0.37244897959183676,196,0.35511674760215167
12,48,1.5,5.0,25,0.7735701814340202,-33912.21194365998,40974.88648903702,0.3191489361702128,141,0.34964713773717515
10,40,1.5,5.0,25,0.8959254140762292,-17288.26527324812,43316.392280559696,0.32298136645962733,161,0.3083320940789744
