ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
10,40,1.5,2.0,28,0.6,0.730225151921899,-13149.535647123494,16364.979935099254,0.4117647058823529,102,0.4753470023201834,0.9909499134713056
10,40,1.5,2.0,28,0.65,0.730225151921899,-13149.535647123494,16364.979935099254,0.4117647058823529,102,0.4753470023201834,0.9909499134713056
10,40,1.5,2.0,28,0.55,0.730225151921899,-13149.535647123494,16364.979935099254,0.4117647058823529,102,0.4753470023201834,0.9909499134713056
15,60,1.5,2.0,25,0.55,0.7560592280338702,-12146.69730706017,15440.30159503594,0.42857142857142855,105,0.4746198070997055,0.9909499134713056
15,60,1.5,2.0,25,0.6,0.7560592280338702,-12146.69730706017,15440.30159503594,0.42857142857142855,105,0.4746198070997055,0.9909499134713056
15,60,1.5,2.0,25,0.65,0.7560592280338702,-12146.69730706017,15440.30159503594,0.42857142857142855,105,0.4746198070997055,0.9909499134713056
15,60,1.5,2.5,25,0.55,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
15,60,1.5,2.5,25,0.6,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
15,60,1.5,2.5,25,0.65,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
15,60,1.5,2.5,28,0.55,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
15,60,1.5,2.5,28,0.6,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
15,60,1.5,2.5,28,0.65,0.8713787830678145,-6513.992706762135,11092.936984436295,0.41414141414141414,99,0.47431342124828557,0.9909499134713056
10,40,1.5,2.0,25,0.55,0.7026633816866212,-15061.45137836354,18296.435666339297,0.4117647058823529,102,0.47346833875639516,0.9909499134713056
10,40,1.5,2.0,25,0.65,0.7026633816866212,-15061.45137836354,18296.435666339297,0.4117647058823529,102,0.47346833875639516,0.9909499134713056
10,40,1.5,2.0,25,0.6,0.7026633816866212,-15061.45137836354,18296.435666339297,0.4117647058823529,102,0.47346833875639516,0.9909499134713056
8,32,1.5,2.0,28,0.55,0.6646440306494742,-17454.424042302944,20816.967123987444,0.41836734693877553,98,0.4718987309736719,0.9909499134713056
8,32,1.5,2.0,28,0.65,0.6646440306494742,-17454.424042302944,20816.967123987444,0.41836734693877553,98,0.4718987309736719,0.9909499134713056
8,32,1.5,2.0,28,0.6,0.6646440306494742,-17454.424042302944,20816.967123987444,0.41836734693877553,98,0.4718987309736719,0.9909499134713056
15,60,1.5,2.0,28,0.55,0.7862486533525258,-10234.781575820125,13874.637322699302,0.42857142857142855,105,0.4709040680330503,0.9909499134713056
15,60,1.5,2.0,28,0.6,0.7862486533525258,-10234.781575820125,13874.637322699302,0.42857142857142855,105,0.4709040680330503,0.9909499134713056
15,60,1.5,2.0,28,0.65,0.7862486533525258,-10234.781575820125,13874.637322699302,0.42857142857142855,105,0.4709040680330503,0.9909499134713056
8,32,1.5,2.0,25,0.65,0.6410940261088933,-19366.33977354299,22748.422855227487,0.41836734693877553,98,0.46705039967547374,0.9909499134713056
8,32,1.5,2.0,25,0.6,0.6410940261088933,-19366.33977354299,22748.422855227487,0.41836734693877553,98,0.46705039967547374,0.9909499134713056
8,32,1.5,2.0,25,0.55,0.6410940261088933,-19366.33977354299,22748.422855227487,0.41836734693877553,98,0.46705039967547374,0.9909499134713056
12,48,1.5,2.5,25,0.55,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.5,25,0.6,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.5,25,0.65,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.5,28,0.55,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.5,28,0.6,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.5,28,0.65,0.8142123431788352,-9554.428465355208,17844.862795902183,0.4105263157894737,95,0.46446220627495954,0.9909499134713056
12,48,1.5,2.0,28,0.55,0.6916221405830992,-15447.101125797522,20982.74453517323,0.42,100,0.44695171964795705,0.9909499134713056
12,48,1.5,2.0,28,0.6,0.6916221405830992,-15447.101125797522,20982.74453517323,0.42,100,0.44695171964795705,0.9909499134713056
