ema_fast,ema_slow,sl,rr,adx,score,pf,ret,dd,wr,n_trades,wf_score,stability
8,32,1.5,5.0,25,0.55,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
8,32,1.5,5.0,25,0.6,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
8,32,1.5,5.0,28,0.55,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
8,32,1.5,5.0,25,0.65,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
8,32,1.5,5.0,28,0.6,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
8,32,1.5,5.0,28,0.65,1.7388515893811534,48229.32307887112,9926.366377749713,0.4067796610169492,118,16.115185521473638,0.5962402903592048
10,40,1.5,5.0,25,0.6,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,5.0,25,0.55,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,5.0,25,0.65,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,5.0,28,0.55,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,5.0,28,0.6,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,5.0,28,0.65,1.6824019422904035,41309.35491338816,9536.251013497706,0.41379310344827586,116,9.974025313829005,0.5962402903592048
10,40,1.5,2.5,25,0.55,1.5060196387467235,22966.44648624992,7809.783136277401,0.4453125,128,7.5753578224865254,0.5962402903592048
10,40,1.5,2.5,25,0.6,1.5060196387467235,22966.44648624992,7809.783136277401,0.4453125,128,7.5753578224865254,0.5962402903592048
10,40,1.5,2.5,25,0.65,1.5060196387467235,22966.44648624992,7809.783136277401,0.4453125,128,7.5753578224865254,0.5962402903592048
10,40,1.5,2.5,28,0.6,1.5060196387467235,22966.44648624992,7809.783136277401,0.4453125,128,7.5753578224865254,0.5962402903592048
