ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
8,32,2.0,2.5,25,inf,0,0.0,0,0,153.85024684382472
6,24,2.0,2.5,25,inf,0,0.0,0,0,81.51868504716691
6,24,2.0,2.0,25,inf,0,0.0,0,0,36.253972676030116
8,32,2.0,2.0,25,inf,0,0.0,0,0,13.008542959457657
6,24,1.5,2.0,20,inf,0,0.0,0,0,-247.62926084283424
6,24,1.5,2.5,25,inf,0,0.0,0,0,-247.71752492969404
6,24,1.5,2.0,25,inf,0,0.0,0,0,-247.87497008679668
6,24,1.5,2.0,25,inf,0,0.0,0,0,-247.87497008679668
6,24,1.0,2.5,25,inf,0,0.0,0,0,-248.77687580241866
8,32,1.0,2.0,25,inf,0,0.0,0,0,-249.68481265451175
6,24,1.0,2.0,25,inf,0,0.0,0,0,-249.6973173302539
8,32,1.5,2.0,20,inf,0,0.0,0,0,-489.91151829276794
8,32,1.5,2.0,22,inf,0,0.0,0,0,-490.98060875117585
8,32,1.5,2.0,25,inf,0,0.0,0,0,-493.01538152760725
8,32,1.5,2.0,25,inf,0,0.0,0,0,-493.01538152760725
8,32,1.5,2.5,25,inf,0,0.0,0,0,-494.47104127542525
6,24,1.5,2.0,22,inf,0,0.0,0,0,-495.33593353962317
8,32,1.0,2.5,25,inf,0,0.0,0,0,-598.8224299691167
