ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
8,32,1.5,2.5,25,inf,0,0.0,0,0,-249.57775432748707
8,32,2.0,5.0,25,inf,0,0.0,0,0,-249.5857779556884
8,32,2.0,2.5,25,inf,0,0.0,0,0,-249.59050681523266
8,32,1.5,2.0,25,inf,0,0.0,0,0,-249.60230218861716
8,32,1.5,2.0,25,inf,0,0.0,0,0,-249.60230218861716
8,32,1.5,2.0,28,inf,0,0.0,0,0,-249.60230218861716
8,32,2.0,2.0,25,inf,0,0.0,0,0,-249.60414596122519
8,32,1.5,5.0,25,inf,0,0.0,0,0,-499.32152488896486
15,60,1.5,2.0,25,inf,0,0.0,0,0,-499.5
15,60,1.5,2.0,25,inf,0,0.0,0,0,-499.5
